Date,Open,High,Low,Close,Volume,Open Interest
7/2/96,1548.97,1549.47,1544.17,1544.32,769,5617
7/3/96,1542.97,1543.97,1536.47,1537.37,727,5612
7/5/96,1518.97,1529.72,1518.47,1520.47,440,5532
7/8/96,1519.47,1526.72,1517.72,1519.22,1621,5719
7/9/96,1523.97,1525.97,1520.97,1522.57,620,5705
7/10/96,1521.47,1523.12,1511.47,1522.37,2191,5437
7/11/96,1513.47,1514.47,1489.47,1499.62,2895,5543
7/12/96,1505.47,1507.47,1488.47,1495.72,2451,5859
7/15/96,1494.47,1494.97,1466.97,1468.72,2514,5982
7/16/96,1468.47,1479.47,1438.72,1478.97,3509,6385
7/17/96,1488.97,1498.47,1481.47,1491.82,3542,6622
7/18/96,1495.47,1504.97,1488.97,1504.22,3182,6678
7/19/96,1499.97,1500.22,1485.97,1494.12,2857,6223
7/22/96,1486.77,1489.47,1480.47,1484.97,2323,6130
7/23/96,1490.47,1490.97,1456.72,1457.62,1816,6332
7/24/96,1441.47,1471.47,1440.97,1466.72,2367,6128
7/25/96,1476.47,1481.97,1471.47,1481.22,1312,5892
7/26/96,1485.97,1493.97,1481.97,1493.57,1305,5596
7/29/96,1491.97,1497.47,1478.97,1479.97,1117,5790
7/30/96,1487.47,1491.97,1478.97,1491.72,1344,6010
7/31/96,1491.97,1501.47,1487.97,1496.47,1522,5711
8/1/96,1495.97,1512.72,1495.97,1508.22,1559,5691
8/2/96,1522.47,1531.22,1518.47,1527.82,2314,5083
8/5/96,1528.47,1530.47,1521.22,1521.87,1225,5151
8/6/96,1516.47,1531.47,1514.47,1530.52,1570,5009
8/7/96,1534.47,1541.72,1528.72,1540.57,2234,4884
8/8/96,1537.47,1541.97,1536.47,1538.22,724,4723
8/9/96,1533.47,1542.22,1531.97,1535.72,963,4652
8/12/96,1535.97,1540.47,1530.72,1538.07,1075,4705
8/13/96,1533.47,1539.97,1525.72,1527.47,1754,4701
8/14/96,1531.47,1537.72,1529.72,1537.72,1075,4756
8/15/96,1535.52,1540.97,1534.72,1535.97,914,4670
8/16/96,1536.97,1539.97,1530.47,1532.97,1451,4406
8/19/96,1532.97,1532.97,1526.47,1528.97,696,4395
8/20/96,1530.47,1530.47,1523.02,1524.72,731,4366
8/21/96,1519.47,1526.97,1517.47,1526.32,1103,4071
8/22/96,1527.47,1539.37,1527.47,1539.37,1268,3834
8/23/96,1535.47,1543.97,1534.97,1536.47,932,3916
8/26/96,1532.97,1534.97,1529.97,1531.22,818,3854
8/27/96,1534.47,1537.47,1532.22,1537.42,617,3796
8/28/96,1537.47,1539.72,1535.37,1537.97,438,3733
8/29/96,1535.47,1536.37,1528.47,1528.67,1252,3836
8/30/96,1529.97,1529.97,1520.72,1521.87,734,3920
9/3/96,1510.47,1526.97,1507.72,1526.07,1573,3763
9/4/96,1526.97,1528.87,1522.47,1524.97,2905,5297
9/5/96,1520.47,1523.22,1509.27,1509.72,2427,5471
9/6/96,1514.97,1524.22,1512.22,1522.22,1997,5608
9/9/96,1523.47,1528.97,1520.47,1527.82,1024,5568
9/10/96,1528.47,1531.47,1522.47,1529.07,1397,5525
9/11/96,1523.47,1533.47,1522.47,1531.22,1409,5452
9/12/96,1534.97,1543.97,1531.97,1543.47,834,5061
9/13/96,1553.47,1564.97,1553.47,1564.27,1108,4755
9/16/96,1565.47,1573.62,1564.47,1566.12,2377,4380
9/17/96,1576.12,1581.47,1569.22,1580.97,1874,3939
9/18/96,1578.37,1592.37,1573.87,1584.47,2634,5707
9/19/96,1582.37,1595.62,1581.87,1593.02,3420,7245
9/20/96,1595.57,1603.92,1588.87,1600.57,4193,7995
9/23/96,1596.37,1597.37,1587.12,1589.12,2236,7954
9/24/96,1589.12,1600.87,1587.57,1593.37,2392,8249
9/25/96,1599.37,1603.37,1594.87,1602.37,1948,8515
9/26/96,1606.37,1614.87,1597.37,1601.77,5090,9228
9/27/96,1602.37,1604.87,1596.62,1599.87,3799,9476
9/30/96,1600.37,1606.37,1592.37,1592.62,2755,10061
10/1/96,1590.37,1597.87,1584.87,1590.87,3124,10424
10/2/96,1595.87,1606.87,1593.12,1603.97,2520,10358
10/3/96,1605.87,1608.87,1598.37,1598.77,2360,10683
10/4/96,1605.87,1616.37,1604.87,1615.62,2285,10869
10/7/96,1616.37,1623.37,1614.37,1622.32,1735,11097
10/8/96,1624.37,1627.37,1608.37,1609.52,2153,11032
10/9/96,1618.92,1619.52,1604.37,1611.12,3824,11060
10/10/96,1606.37,1616.67,1604.37,1606.62,2233,10984
10/11/96,1614.37,1623.37,1611.57,1623.32,2345,11127
10/14/96,1625.87,1629.12,1622.37,1628.22,1662,11321
10/15/96,1638.22,1644.37,1625.37,1629.57,3239,11596
10/16/96,1628.87,1628.87,1616.37,1624.37,2667,11377
10/17/96,1629.37,1629.37,1611.87,1612.37,3569,11091
10/18/96,1613.37,1614.12,1606.87,1613.97,1935,11140
10/21/96,1611.87,1620.87,1597.37,1601.12,2570,10950
10/22/96,1597.87,1600.87,1584.37,1590.12,4006,10986
10/23/96,1589.37,1605.87,1586.87,1605.62,3012,10810
10/24/96,1607.37,1616.12,1599.37,1600.12,5966,10958
10/25/96,1601.37,1606.87,1597.37,1599.77,2134,10827
10/28/96,1601.37,1608.87,1593.62,1594.62,3701,10838
10/29/96,1600.37,1602.12,1584.87,1586.52,4268,10764
10/30/96,1589.37,1593.12,1585.37,1590.47,3540,10902
10/31/96,1592.87,1608.37,1592.37,1608.22,2877,10741
11/1/96,1610.37,1614.37,1602.87,1610.97,4085,10573
11/4/96,1610.37,1612.52,1604.37,1611.37,1591,10421
11/5/96,1615.12,1626.87,1613.62,1623.12,1984,10390
11/6/96,1622.37,1642.37,1621.37,1642.12,2701,10486
11/7/96,1641.37,1653.87,1638.37,1648.12,2997,10840
11/8/96,1647.37,1652.37,1640.37,1651.87,2020,10104
11/11/96,1651.87,1659.37,1647.87,1657.87,1314,10016
11/12/96,1663.37,1664.37,1645.87,1646.77,3350,10760
11/13/96,1650.37,1653.87,1641.62,1651.22,2994,10752
11/14/96,1648.62,1663.77,1647.37,1663.57,3209,10807
11/15/96,1666.37,1668.62,1646.37,1654.12,4008,10130
11/18/96,1655.37,1655.37,1639.62,1647.62,2800,10119
11/19/96,1644.87,1660.87,1643.37,1660.22,2934,10157
11/20/96,1659.37,1671.87,1655.87,1658.37,3225,9776
11/21/96,1660.37,1664.37,1651.12,1653.12,3712,9894
11/22/96,1656.37,1671.87,1656.37,1670.87,3003,9621
11/25/96,1671.37,1674.62,1664.37,1674.12,2818,9652
11/26/96,1676.37,1681.07,1661.37,1674.02,2976,9661
11/27/96,1677.37,1683.37,1672.37,1681.97,1170,9760
11/29/96,1683.37,1688.37,1683.37,1685.87,661,9897
12/2/96,1685.37,1696.62,1678.87,1696.12,1911,10013
12/3/96,1699.37,1707.37,1682.37,1683.37,3312,9663
12/4/96,1688.12,1693.37,1677.37,1684.12,2921,9536
12/5/96,1682.37,1691.37,1678.37,1687.62,2354,9562
12/6/96,1667.62,1688.37,1657.87,1678.62,3423,8427
12/9/96,1685.37,1707.37,1685.37,1706.72,3588,8895
12/10/96,1716.72,1718.37,1698.37,1699.87,3738,8908
12/11/96,1688.37,1708.37,1684.37,1705.12,4229,8678
12/12/96,1715.12,1717.37,1692.87,1692.37,2785,8113
12/13/96,1687.37,1693.37,1676.87,1680.87,1453,7687
12/16/96,1685.37,1685.87,1652.37,1657.62,824,7614
12/17/96,1649.37,1665.87,1647.62,1663.87,867,7410
12/18/96,1673.87,1688.37,1669.87,1688.32,676,7267
12/19/96,1697.87,1698.12,1684.87,1695.62,3789,5085
12/20/96,1701.37,1701.37,1678.87,1683.62,2639,5144
12/23/96,1685.37,1685.87,1669.87,1671.87,1041,4958
12/24/96,1673.37,1685.37,1669.87,1684.87,661,4948
12/26/96,1688.87,1693.37,1684.87,1692.37,646,4962
12/27/96,1696.37,1696.37,1683.37,1685.02,628,4984
12/30/96,1688.37,1690.37,1673.87,1674.12,527,4903
12/31/96,1675.37,1679.37,1664.62,1666.77,1362,4968
1/2/97,1674.37,1675.37,1652.37,1664.37,2284,5054
1/3/97,1672.37,1698.37,1671.37,1697.12,2302,5140
1/6/97,1697.37,1706.37,1691.87,1698.37,2061,5292
1/7/97,1698.37,1712.87,1693.37,1712.47,1678,5559
1/8/97,1716.37,1717.37,1698.37,1701.12,2251,6562
1/9/97,1705.87,1706.97,1696.37,1703.37,1569,6572
1/10/97,1692.37,1714.37,1688.37,1714.37,2240,6400
1/13/97,1717.37,1718.37,1708.87,1710.62,1545,6474
1/14/97,1716.87,1734.37,1716.37,1729.37,2927,6823
1/15/97,1723.37,1729.37,1708.87,1709.52,2770,6662
1/16/97,1718.37,1726.37,1713.37,1721.97,2377,6680
1/17/97,1721.37,1733.37,1720.37,1728.87,1527,6401
1/20/97,1731.87,1748.62,1730.37,1745.97,1720,6665
1/21/97,1741.37,1761.37,1739.87,1757.87,2418,7545
1/22/97,1757.87,1773.37,1753.87,1771.47,2228,7496
1/23/97,1774.37,1784.87,1753.37,1757.87,2535,7647
1/24/97,1757.87,1762.12,1740.37,1741.87,3598,7367
1/27/97,1744.37,1747.37,1733.37,1736.12,2093,7231
1/28/97,1751.37,1753.62,1728.37,1737.87,2758,7093
1/29/97,1743.37,1743.37,1728.37,1739.37,2213,6557
1/30/97,1746.37,1757.87,1741.37,1757.62,2359,6632
1/31/97,1761.87,1770.87,1759.37,1764.87,2438,6603
2/3/97,1767.87,1773.37,1758.87,1762.37,1292,6593
2/4/97,1760.87,1764.87,1744.92,1763.12,2331,6723
2/5/97,1758.87,1761.37,1720.37,1734.87,3346,7039
2/6/97,1736.37,1737.37,1720.87,1729.37,3166,6799
2/7/97,1740.37,1745.87,1726.37,1745.07,2461,6727
2/10/97,1746.37,1748.37,1712.37,1712.87,3351,6935
2/11/97,1722.37,1723.37,1697.37,1720.12,4204,6634
2/12/97,1717.37,1745.37,1717.37,1745.12,3926,6827
2/13/97,1748.87,1755.87,1744.37,1747.12,2763,7647
2/14/97,1748.87,1750.62,1737.37,1742.17,1505,7634
2/18/97,1743.37,1743.87,1730.37,1739.87,1743,7434
2/19/97,1739.87,1746.37,1734.87,1738.37,2205,7329
2/20/97,1734.37,1736.37,1719.12,1721.82,3334,7215
2/21/97,1721.37,1722.37,1700.87,1705.37,3684,6572
2/24/97,1698.37,1725.37,1694.37,1724.87,3511,6945
2/25/97,1724.87,1734.37,1713.37,1722.87,2933,6778
2/26/97,1724.37,1728.37,1707.37,1718.87,4235,6961
2/27/97,1719.37,1721.37,1683.47,1685.12,3164,7073
2/28/97,1685.37,1700.87,1675.87,1686.87,3936,6919
3/3/97,1685.37,1698.62,1682.87,1698.12,2814,7044
3/4/97,1702.37,1710.37,1696.87,1701.62,3408,6901
3/5/97,1706.87,1714.37,1701.87,1714.12,3144,6646
3/6/97,1711.87,1714.37,1689.37,1693.87,3592,6680
3/7/97,1697.37,1699.37,1675.37,1682.87,3579,6286
3/10/97,1680.37,1697.37,1668.87,1697.12,3009,5929
3/11/97,1696.37,1700.37,1686.87,1687.12,2303,5794
3/12/97,1685.87,1687.37,1672.87,1677.02,2888,5840
3/13/97,1675.37,1686.37,1673.37,1678.67,1458,5530
3/14/97,1686.37,1689.37,1674.37,1678.42,982,5289
3/17/97,1674.37,1674.37,1656.87,1673.77,1186,5062
3/18/97,1676.87,1676.87,1661.37,1665.22,1014,4972
3/19/97,1656.67,1662.67,1637.67,1651.17,4490,5207
3/20/97,1652.67,1666.17,1643.67,1660.42,4206,5612
3/21/97,1665.67,1668.17,1649.17,1650.42,2434,5724
3/24/97,1647.17,1648.67,1624.17,1646.07,3422,5926
3/25/97,1646.67,1654.67,1636.67,1645.92,2971,6233
3/26/97,1650.67,1672.42,1650.67,1670.92,4269,6724
3/27/97,1672.67,1680.17,1641.67,1654.42,4447,7269
3/31/97,1649.67,1653.17,1630.67,1631.67,3825,7871
4/1/97,1621.67,1638.67,1619.67,1634.02,2908,7958
4/2/97,1631.67,1633.67,1614.67,1614.92,2331,8017
4/3/97,1613.67,1643.67,1613.67,1642.17,3838,8484
4/4/97,1636.67,1663.17,1634.17,1656.17,3908,8576
4/7/97,1664.67,1675.67,1664.17,1667.97,3516,8482
4/8/97,1670.17,1679.67,1661.67,1679.17,2967,8055
4/9/97,1682.67,1684.67,1663.67,1664.42,3267,7681
4/10/97,1663.17,1664.67,1648.17,1651.57,4403,7341
4/11/97,1637.67,1643.67,1624.67,1624.67,4224,7778
4/14/97,1628.67,1643.92,1620.17,1643.52,4311,7515
4/15/97,1647.67,1653.17,1625.17,1634.67,4570,7221
4/16/97,1628.67,1641.67,1622.17,1636.67,3906,7599
4/17/97,1639.67,1654.67,1637.67,1642.67,4423,7873
4/18/97,1657.67,1660.67,1645.17,1649.92,3512,7309
4/21/97,1648.67,1654.92,1631.67,1636.92,3625,7194
4/22/97,1638.17,1655.67,1627.67,1654.17,3178,7194
4/23/97,1653.67,1675.67,1652.17,1675.42,3449,7253
4/24/97,1683.67,1687.67,1668.67,1671.67,3940,7004
4/25/97,1667.67,1669.17,1651.67,1653.02,2682,6819
4/28/97,1653.67,1667.92,1647.17,1664.42,3245,6915
4/29/97,1675.67,1693.67,1675.67,1693.42,3426,6668
4/30/97,1686.67,1712.67,1685.67,1707.02,5578,6934
5/1/97,1709.67,1721.17,1706.17,1716.67,4310,6777
5/2/97,1721.42,1745.67,1720.17,1745.52,4517,7460
5/5/97,1749.67,1771.17,1739.67,1770.52,6216,7689
5/6/97,1758.67,1765.67,1742.67,1752.17,3380,7826
5/7/97,1742.67,1760.17,1737.67,1741.42,3559,7997
5/8/97,1739.67,1760.92,1737.67,1753.42,3305,7706
5/9/97,1760.67,1765.17,1742.67,1753.42,2710,7740
5/12/97,1757.67,1762.67,1750.17,1757.92,2263,7369
5/13/97,1756.17,1761.17,1742.17,1746.42,2620,7463
5/14/97,1749.67,1749.67,1733.67,1743.92,3191,7197
5/15/97,1742.67,1766.67,1741.67,1761.17,2947,7141
5/16/97,1752.67,1760.92,1745.92,1747.92,2721,6951
5/19/97,1750.67,1752.67,1740.17,1744.57,2229,6610
5/20/97,1745.67,1775.17,1744.17,1773.92,4139,6936
5/21/97,1783.67,1793.67,1775.17,1780.42,3964,6829
5/22/97,1782.67,1784.17,1771.42,1778.42,2630,6669
5/23/97,1783.67,1791.17,1776.67,1790.92,1688,6662
5/27/97,1787.67,1818.67,1786.92,1814.42,3597,6844
5/28/97,1815.67,1819.67,1805.67,1812.67,3289,6888
5/29/97,1814.67,1817.17,1799.17,1801.32,3171,6724
5/30/97,1797.28,1798.67,1797.28,1790.42,4880,6885
6/2/97,1798.17,1799.67,1780.17,1786.42,3069,6957
6/3/97,1778.67,1780.67,1755.67,1757.67,3697,7284
6/4/97,1760.17,1773.17,1746.17,1756.17,5375,7319
6/5/97,1759.67,1764.67,1755.67,1761.42,4293,7236
6/6/97,1761.67,1777.67,1755.17,1776.42,3170,7034
6/9/97,1782.67,1788.67,1779.67,1784.87,2827,7251
6/10/97,1781.67,1788.67,1767.17,1771.92,4205,7006
6/11/97,1770.67,1779.42,1760.77,1778.42,4551,6312
6/12/97,1773.67,1785.17,1766.67,1780.67,2045,5305
6/13/97,1780.67,1801.67,1780.17,1793.67,850,5448
6/16/97,1795.67,1806.17,1792.67,1805.17,410,5278
6/17/97,1799.67,1820.67,1799.67,1815.17,1055,5255
6/18/97,1810.67,1810.67,1797.67,1800.92,4079,5397
6/19/97,1795.67,1815.67,1795.67,1811.67,4055,5789
6/20/97,1810.67,1819.17,1802.67,1803.67,2598,5761
6/23/97,1805.67,1815.17,1791.67,1792.67,2746,5632
6/24/97,1807.67,1816.67,1794.67,1814.42,2959,5931
6/25/97,1814.67,1820.17,1793.67,1803.67,3908,5527
6/26/97,1803.67,1809.67,1789.67,1795.82,2624,5505
6/27/97,1801.67,1804.17,1786.67,1789.82,2214,5481
6/30/97,1791.67,1796.17,1780.67,1781.17,2113,5464
7/1/97,1785.67,1790.17,1771.67,1782.12,2513,5444
7/2/97,1786.67,1804.17,1781.17,1803.92,2585,5439
7/3/97,1812.67,1817.17,1806.67,1815.92,1947,5579
7/7/97,1820.67,1825.67,1811.67,1814.42,2496,5704
7/8/97,1816.67,1833.67,1814.42,1831.92,2871,6058
7/9/97,1836.67,1845.07,1830.67,1836.17,3556,5888
7/10/97,1835.67,1839.17,1820.17,1835.92,3812,5731
7/11/97,1832.67,1843.27,1828.17,1841.27,2050,5850
7/14/97,1846.67,1869.17,1846.17,1868.92,2083,6201
7/15/97,1880.67,1889.67,1868.17,1882.92,3787,6099
7/16/97,1902.92,1931.67,1900.67,1929.02,4501,6421
7/17/97,1929.67,1933.37,1912.17,1922.17,3879,6581
7/18/97,1907.42,1914.67,1879.67,1895.42,3928,6074
7/21/97,1897.67,1898.67,1874.67,1879.67,2654,5991
7/22/97,1884.67,1917.57,1884.67,1916.17,3558,5939
7/23/97,1922.67,1931.17,1910.67,1913.17,2479,5875
7/24/97,1911.67,1918.17,1893.17,1910.92,3298,5742
7/25/97,1913.67,1921.17,1901.67,1907.17,2431,5835
7/28/97,1910.67,1911.67,1893.67,1897.92,2219,5931
7/29/97,1892.67,1913.67,1891.67,1910.67,2532,6121
7/30/97,1912.67,1930.17,1906.67,1923.92,2263,6201
7/31/97,1927.67,1934.67,1919.67,1929.17,1833,6041
8/1/97,1931.67,1938.67,1914.67,1933.42,2944,6216
8/4/97,1929.67,1947.92,1928.67,1946.17,2834,6241
8/5/97,1950.67,1962.17,1948.67,1958.52,2407,6737
8/6/97,1956.67,1972.67,1950.67,1963.42,2825,6949
8/7/97,1968.67,1972.17,1954.67,1955.67,2584,7027
8/8/97,1944.67,1954.67,1925.67,1931.42,3849,7336
8/11/97,1937.67,1939.67,1903.67,1926.92,3533,7728
8/12/97,1928.67,1940.17,1910.67,1912.42,3244,7841
8/13/97,1932.67,1932.67,1902.67,1919.92,2477,7986
8/14/97,1922.67,1929.17,1911.67,1926.17,2430,8064
8/15/97,1921.67,1921.67,1886.67,1887.17,2594,8037
8/18/97,1898.67,1912.67,1879.67,1910.92,2889,7924
8/19/97,1922.67,1941.92,1916.17,1939.17,3081,7850
8/20/97,1939.17,1966.17,1936.17,1965.42,2956,7916
8/21/97,1961.67,1963.17,1934.67,1935.92,3563,7896
8/22/97,1907.67,1931.67,1905.67,1929.92,3254,8162
8/25/97,1933.17,1942.67,1920.67,1926.92,2184,7982
8/26/97,1921.67,1927.17,1904.67,1904.82,2084,7983
8/27/97,1914.67,1917.67,1894.17,1911.67,2433,8340
8/28/97,1898.67,1903.67,1881.67,1887.67,4234,8220
8/29/97,1887.67,1899.67,1886.67,1895.42,2784,8124
9/2/97,1902.67,1924.17,1901.67,1923.42,2708,8044
9/3/97,1921.17,1934.17,1912.67,1912.67,2198,8094
9/4/97,1914.67,1927.67,1913.67,1924.92,1775,7863
9/5/97,1932.67,1938.67,1919.92,1930.17,2578,7723
9/8/97,1935.17,1943.67,1930.67,1933.42,1990,7583
9/9/97,1933.67,1947.17,1933.67,1941.17,2306,7461
9/10/97,1939.67,1941.67,1916.67,1917.17,3423,7290
9/11/97,1915.17,1922.92,1895.92,1916.67,1899,6923
9/12/97,1922.67,1924.67,1909.67,1921.42,1488,7102
9/15/97,1920.67,1925.42,1895.17,1895.82,633,6874
9/16/97,1906.67,1933.67,1905.77,1931.82,493,6555
9/17/97,1934.67,1937.67,1923.67,1925.57,1242,6654
9/18/97,1931.67,1939.67,1921.67,1925.92,3432,4371
9/19/97,1925.92,1935.67,1923.67,1934.52,1272,4407
9/22/97,1935.67,1952.67,1935.42,1941.67,2197,4478
9/23/97,1941.17,1950.67,1937.67,1949.92,1998,4373
9/24/97,1952.67,1955.17,1926.67,1929.17,2496,4519
9/25/97,1930.17,1935.42,1918.67,1920.17,1777,4598
9/26/97,1927.67,1931.67,1915.67,1922.42,1533,4620
9/29/97,1923.67,1935.17,1916.17,1933.42,1522,4530
9/30/97,1927.67,1932.17,1907.67,1909.92,2727,4691
10/1/97,1917.07,1922.67,1902.17,1916.17,3038,4865
10/2/97,1920.17,1927.67,1914.67,1927.17,1556,4816
10/3/97,1944.67,1949.67,1925.67,1938.92,2545,5070
10/6/97,1946.67,1947.67,1934.67,1938.32,2574,5795
10/7/97,1938.67,1958.17,1938.67,1954.92,2508,5514
10/8/97,1955.17,1959.67,1944.67,1959.67,2960,4904
10/9/97,1954.67,1968.67,1951.17,1961.92,3102,5263
10/10/97,1955.67,1960.67,1948.67,1952.32,2497,5437
10/13/97,1954.67,1959.67,1949.67,1954.17,1367,5407
10/14/97,1955.67,1956.92,1931.17,1944.67,2721,5741
10/15/97,1927.67,1935.67,1923.77,1930.92,2801,5492
10/16/97,1938.17,1939.17,1898.67,1907.92,3778,5784
10/17/97,1903.67,1903.67,1867.92,1882.67,3314,5998
10/20/97,1888.67,1904.67,1884.17,1897.17,3374,5955
10/21/97,1907.67,1922.92,1906.67,1921.92,2836,6382
10/22/97,1920.67,1925.17,1906.67,1908.07,1957,6360
10/23/97,1887.67,1896.67,1877.67,1886.67,3923,6741
10/24/97,1898.67,1899.67,1855.67,1864.67,3751,6796
10/27/97,1847.17,1858.17,1779.67,1779.67,4993,7307
10/28/97,1753.72,1857.67,1736.67,1856.42,5831,7047
10/29/97,1864.67,1869.67,1829.67,1837.17,5172,7343
10/30/97,1807.17,1838.67,1798.67,1799.17,3495,7356
10/31/97,1830.67,1834.17,1813.67,1832.17,2210,7283
11/3/97,1837.67,1861.17,1837.67,1860.92,2974,7421
11/4/97,1854.67,1864.67,1848.67,1856.67,2805,7575
11/5/97,1857.67,1866.67,1851.67,1853.82,2279,7809
11/6/97,1856.67,1857.67,1837.67,1840.67,2185,8180
11/7/97,1810.67,1840.67,1810.67,1837.17,3682,8469
11/10/97,1841.67,1846.17,1814.67,1816.17,2498,8832
11/11/97,1817.67,1826.67,1812.67,1818.17,1197,8728
11/12/97,1804.67,1817.57,1781.67,1787.17,3725,9104
11/13/97,1798.67,1813.67,1776.67,1813.17,3584,9123
11/14/97,1810.67,1836.42,1808.67,1835.92,3187,8966
11/17/97,1850.67,1863.42,1847.17,1854.92,2369,8778
11/18/97,1854.67,1858.67,1839.67,1842.92,2616,8537
11/19/97,1837.92,1846.47,1836.67,1843.92,2541,8705
11/20/97,1848.67,1870.17,1846.17,1868.17,3515,8568
11/21/97,1880.67,1880.67,1853.67,1861.17,2617,8549
11/24/97,1851.67,1858.67,1831.67,1834.92,2676,8406
11/25/97,1842.67,1847.67,1828.67,1845.67,2151,8354
11/26/97,1847.67,1852.67,1844.17,1847.17,890,8347
11/28/97,1850.17,1859.67,1847.17,1854.17,926,8366
12/1/97,1861.67,1884.67,1860.67,1883.37,2290,8320
12/2/97,1876.67,1879.17,1852.92,1855.42,3388,8805
12/3/97,1851.67,1867.17,1839.67,1864.42,3518,8560
12/4/97,1868.67,1873.17,1852.67,1854.92,2993,7887
12/5/97,1851.67,1876.67,1851.67,1876.17,2646,7999
12/8/97,1877.67,1889.67,1875.17,1887.02,3070,7389
12/9/97,1865.67,1870.67,1850.42,1852.92,4577,7186
12/10/97,1843.67,1845.67,1820.67,1833.17,4622,7286
12/11/97,1813.67,1819.17,1796.67,1803.17,2221,6445
12/12/97,1805.67,1808.67,1773.17,1778.17,1215,5788
12/15/97,1781.67,1799.67,1763.67,1786.67,1341,5140
12/16/97,1791.67,1809.17,1791.67,1800.02,1580,3939
12/17/97,1809.17,1814.17,1782.17,1782.67,3578,4965
12/18/97,1785.17,1785.17,1754.67,1769.17,4398,5309
12/19/97,1755.17,1776.17,1739.17,1771.17,4653,5436
12/22/97,1780.17,1792.17,1770.17,1776.62,1906,5267
12/23/97,1779.17,1782.17,1745.67,1747.17,2328,5332
12/24/97,1754.17,1760.17,1735.17,1740.42,1125,5696
12/26/97,1742.17,1755.17,1742.17,1754.92,1043,5381
12/29/97,1765.17,1780.22,1737.22,1779.92,2175,5656
12/30/97,1779.17,1801.17,1777.67,1795.92,2151,5672
12/31/97,1796.17,1813.17,1778.82,1789.92,1790,5668
