Date,Close 1,Close 2,Ratio,Buy Enter,Buy Exit,Sell Exit,Sell Enter,Position 1,Position 2,P&L 1,P&L 2,P&L,Cum P&L
2004-01-22,2119.01,1144.0,1.8522814685314688,1.4973972993812763,1.6063705441598601,1.8243170337170278,1.9332902784956116,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-23,2108.45,1140.25,1.8491120368340275,1.498959339620373,1.6077556139077638,1.8253481624825452,1.9341444367699359,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-01-26,2153.83,1154.25,1.8659995668182803,1.5001006039617164,1.608863501665729,1.8263892970737543,1.9351521947777668,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,2116.04,1142.5,1.8521137855579868,1.5014645281397834,1.610156688175855,1.827541008247999,1.9362331682840708,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-01-28,2073.15,1129.25,1.8358645118441443,1.5029361251890159,1.6114753327074267,1.8285537477442484,1.9370929552626592,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-01-29,2041.07,1130.25,1.805857111258571,1.504249289690193,1.6126479649672354,1.8294453155213204,1.937843990798363,0.0,0.0,-0.0,0.0,0.0,0.0
2004-01-30,2065.44,1130.0,1.8278230088495575,1.5055651632837501,1.6137463664485494,1.830108772778148,1.9382899759429473,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-02,2085.49,1134.5,1.8382459233142352,1.506976873213917,1.614956074700277,1.830914477672997,1.938893679159357,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,2071.44,1133.0,1.828278905560459,1.5086268030094954,1.616338616312117,1.8317622429173606,1.9394740562199821,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-04,2013.92,1124.0,1.7917437722419929,1.5103631784789617,1.6177471925068434,1.8325152205626067,1.9398992345904884,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-05,2012.79,1126.5,1.7867643142476697,1.5125171498323753,1.6193276298719599,1.832948589951129,1.9397590699907137,0.0,0.0,-0.0,0.0,0.0,0.0
2004-02-06,2064.01,1139.0,1.812124670763828,1.5146434193479819,1.6208781208736713,1.8333475239250503,1.9395822254507398,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-09,2060.44,1140.0,1.8074035087719298,1.516841991614931,1.6225241827967292,1.8338885651603256,1.9395707563421238,0.0,0.0,-0.0,0.0,0.0,0.0
2004-02-10,2075.33,1143.25,1.8152897441504483,1.519025125668539,1.6241473396432895,1.834391767592791,1.9395139815675415,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-11,2089.66,1155.25,1.8088379138714563,1.5209699351433361,1.6256395387200162,1.834978745873376,1.939648349450056,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-12,2072.06,1151.0,1.800225890529974,1.5230197835518082,1.627178849211561,1.8354969805310668,1.9396560461908197,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-13,2049.76,1145.75,1.7890115644774167,1.5248294766236157,1.628549135367548,1.835988452855413,1.9397081115993453,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-17,2084.72,1156.5,1.8026113272805877,1.5271152903603777,1.6301848288109893,1.8363239057122118,1.9393934441628233,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-18,2072.19,1151.25,1.7999478827361564,1.5289677486635944,1.6315814067160201,1.836808722820872,1.9394223808732978,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-19,2045.96,1147.25,1.7833602091959033,1.5305756075437194,1.632818128945068,1.837303171747766,1.9395456931491146,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-20,2022.79,1143.75,1.76855956284153,1.5325511140139831,1.6342462687589878,1.8376365782489972,1.9393317329940019,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-23,1999.59,1140.0,1.7540263157894735,1.5341437013775099,1.6354075456057342,1.8379352340621833,1.9391990782904076,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-02-24,2018.07,1138.5,1.7725691699604742,1.5355453737412534,1.6364222562649127,1.8381760213122316,1.9390529038358908,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-25,2024.2,1143.0,1.7709536307961504,1.5371269628881932,1.6375806180102976,1.8384879282545066,1.938941583376611,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-26,2037.17,1143.25,1.7819112180188061,1.5387514749874784,1.6387610115712488,1.838780084738789,1.9387896213225593,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-27,2018.83,1144.5,1.7639405854084753,1.5405943497460828,1.6400950874636244,1.8390965628987073,1.938597300616249,0.0,0.0,-0.0,0.0,0.0,0.0
2004-03-01,2057.8,1155.5,1.7808740804846388,1.5421834152304894,1.641237172494275,1.839344687021846,1.9383984442856315,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-02,2039.65,1149.0,1.7751523063533508,1.5436859861990648,1.642354106162149,1.8396903460883167,1.9383584660514008,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-03-03,2039.31,1150.75,1.7721572887247448,1.5455359208333932,1.643673974716948,1.8399500824840576,1.9380881363676123,0.0,0.0,-0.0,0.0,0.0,0.0
2004-03-04,2055.12,1154.25,1.7804808317089018,1.5471665893348667,1.6448509915620324,1.8402197960163633,1.937904198243529,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-05,2069.02,1157.75,1.7871042971280502,1.548844926805128,1.6460710046810971,1.8405231604330348,1.9377492383090038,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-08,2008.78,1144.0,1.7559265734265734,1.5506598734283803,1.6473859102442696,1.8408379838760482,1.9375640206919376,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-03-09,1987.29,1139.5,1.74400175515577,1.55243806616926,1.6486204750125693,1.8409852926991876,1.9371677015424968,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-03-10,1963.13,1120.25,1.7524034813657667,1.5542011195687437,1.64982510532102,1.8410730768255725,1.9366970625778488,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-03-11,1943.89,1105.5,1.7583808231569427,1.5559200870413505,1.6510140517896117,1.8412019812861344,1.9362959460343956,0.0,0.0,-0.0,-0.0,-0.0,0.0
2004-03-12,1984.73,1119.25,1.7732678132678132,1.5576436628497858,1.6522137515975046,1.8413539290929426,1.9359240178406614,0.0,0.0,0.0,0.0,0.0,0.0
